date,Lines of code (LOC),TypeScript files,LOC / TypeScript files,type_alias_declaration,interface_declaration,class_declaration,unknown,any,untyped,typed,const,let,arrow_function,function_declaration,method_definition,if_statement,ternary_expression,switch_statement,for_in_statement,for_statement,while_statement,try_statement,throw_statement,await_expression,comment
2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,80679,451,178.8891352549889,506,84,60,926,68,7678,552,8056,512,3218,1064,218,3475,1386,29,280,49,28,470,345,2724,1193
